CONTINENT,ISLAND,STRAIT
Africa,Madagascar,"Mozambique Channel"
Africa,Comoros,"Mozambique Channel"
Africa,Mayotte,"Mozambique Channel"
Africa,Reunion,"Mozambique Channel"
Africa,Mauritus,"Mozambique Channel"
Europe,Ireland,"English Channel"
Europe,"United Kingdom","English Channel"
Europe,"Isle of Man","English Channel"
Europe,"Faroe Island","English Channel"
Europe,Ibiza,"Balearic Sea"
Asia,Philippines,"South China Sea"
Asia,Malaysia,"Malacca Strait"
Asia,Taiwan,"East China Sea"
Asia,Japan,"Sea of Japan"
Asia,Sapporo,"Sea of Japan"
Australia,Vanuatu,"Coral Sea"
Australia,"New Caledonia","Coral Sea"
Australia,"Papua New Guinea","Arafura Sea"
Australia,Indonesia,"Arafura Sea"
Australia,Tasmania,"Bass Strait"
"South America","Cayman Islands","Carribean Sea"
"South America",Jamaica,"Carribean Sea"
"South America",Cuba,"Carribean Sea"
"South America",Haiti,"Carribean Sea"
"South America","Puerto Rico","Carribean Sea"
"North America",Jamaica,"Gulf of Mexico"
"North America",Cuba,"Gulf of Mexico"
"North America",Haiti,"Gulf of Mexico"
"North America","Puerto Rico","Gulf of Mexico"
"North America","Dominican Republic","Gulf of Mexico"
Antarctica,"Dundas Island","Haskell Strait"
Antarctica,"Masked Island","Haskell Strait"
Antarctica,"Rose Island","Haskell Strait"
Antarctica,"Shoe Island","Drakes Passage"
Antarctica,"Yule Island","Drakes Passage"
